119,3,0,1.666666667,3
174,1,0,1.5,2
198,17,1,1.232142857,56
222,1,0,1.25,4
227,1,0,2,1
234,8,1,1.259259259,27
337,0,0,1,2
344,1,0,1.2,5
363,47,0,1.490909091,55
374,6,0,1.096774194,31
412,0,0,1,1
430,1,1,1.25,4
529,2,0,1.666666667,3
531,24,2,1.394736842,38
535,0,0,1,1
536,5,0,1.5,8
572,0,0,1,2
594,1,0,1.333333333,3
595,0,0,1,1
612,0,0,1,1
648,0,0,1,2
717,0,0,1,1
733,16,0,1.357142857,28
743,6,0,1.5,10
761,0,0,1,1
783,19,3,1.285714286,28
812,1,0,2,1
881,0,0,1,1
923,0,1,2,1
945,0,0,1,2
1092,0,2,2,1
1122,1,0,2,1
1174,0,0,1,1
1222,0,0,1,1
1245,0,0,1,1
1294,1,0,2,1
1302,0,0,1,1
1362,2,0,1.5,4
1391,1,0,1.333333333,3
1438,1,0,2,1
1440,0,0,1,1
1625,1,0,2,1
1661,2,0,2,2
1674,2,0,1.5,4
1705,0,0,1,1
1721,2,0,1.5,2
1734,2,0,2,1
1771,0,0,1,1
1783,1,0,1.5,2
1875,3,0,1.666666667,3
1896,11,0,1.303030303,33
1904,1,0,2,1
1905,8,0,1.333333333,15
1929,1,0,2,1
1931,0,0,1,1
1938,1,0,1.5,2
2046,2,0,2,1
2075,1,0,1.5,2
2092,0,0,1,2
2093,0,0,1,1
2268,0,0,2,1
2315,3,0,1.5,2
2321,0,0,1,1
2340,0,0,1,1
2345,0,0,1,1
2413,2,1,1.333333333,6
2460,1,0,2,1
2489,3,1,1.5,8
2516,1,0,1.333333333,3
2575,2,0,1.666666667,3
2662,0,0,1,1
2824,1,1,2,1
2837,0,0,1,1
2860,0,0,1,1
2934,1,0,1.333333333,3
2970,0,0,1,1
2973,2,0,2,2
3042,2,0,1.153846154,13
3045,1,1,1.25,4
3049,0,0,1,1
3051,10,1,1.714285714,14
3097,0,0,1,2
3236,1,0,1.5,2
3245,1,0,1.333333333,3
3259,31,1,1.456521739,46
3263,3,0,2,1
3327,75,8,1.341968912,193
3348,3,1,1.285714286,7
3560,0,0,1,2
3566,1,0,2,1
3686,5,1,1.555555556,9
3706,314,21,1.332382311,701
3720,2,0,1.5,4
3774,11,0,1.375,24
3838,0,0,1,1
3849,1,0,1.2,5
3930,0,0,1,1
3942,1,0,1.25,4
3983,0,0,1,1
3993,1,0,1.4,5
4015,22,2,1.416666667,48
